,Datetime,Dew_Point_F,Humidity,Temperature_F,Wind_Speed_MPH
0,2011-11-01 01:00:00,51.8,88.0,55.4,6.9
1,2011-11-01 02:00:00,53.6,94.0,55.4,8.1
2,2011-11-01 03:00:00,53.6,88.0,57.2,9.2
3,2011-11-01 04:00:00,53.6,88.0,57.2,9.2
4,2011-11-01 05:00:00,53.6,88.0,57.2,8.1
5,2011-11-01 06:00:00,49.0,74.0,55.0,10.4
6,2011-11-01 07:00:00,48.2,82.0,53.6,
7,2011-11-01 08:00:00,50.0,94.0,51.8,5.8
8,2011-11-01 09:00:00,50.0,88.0,53.6,9.2
9,2011-11-01 10:00:00,50.0,82.0,55.4,8.1
10,2011-11-01 11:00:00,50.0,77.0,57.2,9.2
11,2011-11-01 12:00:00,50.0,82.0,55.4,9.2
12,2011-11-01 13:00:00,48.2,72.0,57.2,8.1
13,2011-11-01 14:00:00,48.2,72.0,57.2,6.9
14,2011-11-01 15:00:00,45.0,49.0,59.0,10.4
15,2011-11-01 16:00:00,46.4,63.0,59.0,6.9
16,2011-11-01 17:00:00,46.4,72.0,55.4,6.9
17,2011-11-01 18:00:00,46.4,77.0,53.6,6.9
18,2011-11-01 19:00:00,46.4,82.0,51.8,5.8
19,2011-11-01 20:00:00,46.4,87.0,50.0,6.9
20,2011-11-01 21:00:00,46.4,87.0,50.0,5.8
21,2011-11-01 22:00:00,44.6,93.0,46.4,4.6
22,2011-11-01 23:00:00,44.6,87.0,48.2,4.6
23,2011-11-02 00:00:00,44.6,93.0,46.4,4.6
24,2011-11-02 01:00:00,44.6,100.0,44.6,4.6
25,2011-11-02 02:00:00,44.6,93.0,46.4,5.8
26,2011-11-02 03:00:00,44.6,93.0,46.4,8.1
27,2011-11-02 04:00:00,44.6,100.0,44.6,6.9
28,2011-11-02 05:00:00,42.8,93.0,44.6,8.1
29,2011-11-02 06:00:00,44.6,93.0,46.4,6.9
30,2011-11-02 07:00:00,44.6,93.0,46.4,6.9
31,2011-11-02 08:00:00,48.2,88.0,51.8,12.7
32,2011-11-02 09:00:00,50.0,88.0,53.6,13.8
33,2011-11-02 10:00:00,51.8,88.0,55.4,13.8
34,2011-11-02 11:00:00,50.0,77.0,57.2,16.1
35,2011-11-02 12:00:00,48.0,61.0,58.0,20.7
36,2011-11-02 13:00:00,48.2,67.0,59.0,16.1
37,2011-11-02 14:00:00,48.2,67.0,59.0,16.1
38,2011-11-02 15:00:00,50.0,72.0,59.0,12.7
39,2011-11-02 16:00:00,50.0,77.0,57.2,11.5
40,2011-11-02 17:00:00,51.8,82.0,57.2,12.7
41,2011-11-02 18:00:00,51.8,82.0,57.2,13.8
42,2011-11-02 19:00:00,53.6,88.0,57.2,12.7
43,2011-11-02 20:00:00,53.6,88.0,57.2,9.2
44,2011-11-02 21:00:00,55.0,85.0,58.0,11.5
45,2011-11-02 22:00:00,53.6,82.0,59.0,9.2
46,2011-11-02 23:00:00,55.4,88.0,59.0,11.5
47,2011-11-03 00:00:00,56.0,87.0,59.0,15.0
48,2011-11-03 01:00:00,55.4,88.0,59.0,11.5
49,2011-11-03 02:00:00,55.4,88.0,59.0,10.4
50,2011-11-03 03:00:00,57.2,94.0,59.0,10.4
51,2011-11-03 04:00:00,55.4,82.0,60.8,12.7
52,2011-11-03 05:00:00,55.4,88.0,59.0,10.4
53,2011-11-03 06:00:00,55.4,88.0,59.0,9.2
54,2011-11-03 07:00:00,55.4,88.0,59.0,9.2
55,2011-11-03 08:00:00,55.4,88.0,59.0,9.2
56,2011-11-03 09:00:00,57.2,94.0,59.0,8.1
57,2011-11-03 10:00:00,57.2,88.0,60.8,9.2
58,2011-11-03 11:00:00,57.2,82.0,62.6,13.8
59,2011-11-03 12:00:00,57.0,79.0,62.0,12.7
60,2011-11-03 13:00:00,55.4,77.0,62.6,16.1
61,2011-11-03 14:00:00,55.4,77.0,62.6,12.7
62,2011-11-03 15:00:00,55.4,77.0,62.6,13.8
63,2011-11-03 16:00:00,55.4,82.0,60.8,10.4
64,2011-11-03 17:00:00,55.4,88.0,59.0,10.4
65,2011-11-03 18:00:00,55.4,94.0,57.2,9.2
66,2011-11-03 19:00:00,53.6,94.0,55.4,5.8
67,2011-11-03 20:00:00,51.8,88.0,55.4,5.8
68,2011-11-03 21:00:00,52.0,92.0,54.0,5.8
69,2011-11-03 22:00:00,51.8,88.0,55.4,4.6
70,2011-11-03 23:00:00,51.8,94.0,53.6,5.8
71,2011-11-04 00:00:00,54.0,96.0,55.0,5.8
72,2011-11-04 01:00:00,53.6,94.0,55.4,4.6
73,2011-11-04 02:00:00,55.4,100.0,55.4,4.6
74,2011-11-04 03:00:00,53.6,94.0,55.4,9.2
75,2011-11-04 04:00:00,51.8,94.0,53.6,3.5
76,2011-11-04 05:00:00,51.8,94.0,53.6,5.8
77,2011-11-04 06:00:00,51.8,94.0,53.6,9.2
78,2011-11-04 07:00:00,51.8,94.0,53.6,6.9
79,2011-11-04 08:00:00,51.8,94.0,53.6,6.9
80,2011-11-04 09:00:00,53.6,94.0,55.4,8.1
81,2011-11-04 10:00:00,53.6,94.0,55.4,9.2
82,2011-11-04 11:00:00,53.6,82.0,59.0,10.4
83,2011-11-04 12:00:00,53.6,77.0,60.8,11.5
