,Datetime,Dew_Point_F,Temperature_F,Wind_Speed_MPH
0,2013-12-01 00:50:00,33.8,33.8,4.6
1,2013-12-01 01:50:00,33.8,35.6,3.5
2,2013-12-01 02:50:00,33.8,35.6,4.6
3,2013-12-01 03:50:00,35.6,37.4,5.8
4,2013-12-01 04:50:00,35.6,39.2,4.6
5,2013-12-01 05:50:00,37.4,39.2,3.5
6,2013-12-01 06:50:00,37.4,41.0,3.5
7,2013-12-01 07:50:00,39.2,41.0,4.6
8,2013-12-01 08:50:00,39.2,42.8,4.6
9,2013-12-01 09:50:00,39.2,42.8,4.6
10,2013-12-01 10:50:00,41.0,44.6,4.6
11,2013-12-01 11:50:00,42.8,46.4,4.6
12,2013-12-01 12:50:00,42.8,48.2,4.6
13,2013-12-01 13:50:00,42.8,50.0,5.8
14,2013-12-01 14:50:00,42.8,48.2,3.5
15,2013-12-01 15:50:00,42.8,46.4,3.5
16,2013-12-01 16:50:00,41.0,44.6,3.5
17,2013-12-01 17:50:00,41.0,44.6,3.5
18,2013-12-01 18:50:00,41.0,44.6,4.6
19,2013-12-01 19:50:00,42.8,44.6,3.5
20,2013-12-01 20:50:00,42.8,44.6,3.5
21,2013-12-01 21:50:00,42.8,44.6,2.3
22,2013-12-01 22:50:00,42.8,44.6,3.5
23,2013-12-01 23:50:00,42.8,44.6,3.5
24,2013-12-02 00:50:00,42.8,46.4,2.3
25,2013-12-02 01:50:00,42.8,44.6,2.3
26,2013-12-02 02:50:00,42.8,44.6,2.3
27,2013-12-02 03:50:00,42.8,44.6,3.5
28,2013-12-02 04:50:00,42.8,44.6,3.5
29,2013-12-02 05:50:00,42.8,44.6,2.3
30,2013-12-02 06:50:00,42.8,44.6,3.5
31,2013-12-02 07:50:00,42.8,44.6,3.5
32,2013-12-02 08:50:00,42.8,46.4,3.5
33,2013-12-02 09:50:00,42.8,46.4,2.3
34,2013-12-02 10:50:00,41.0,48.2,3.5
35,2013-12-02 11:50:00,41.0,50.0,2.3
36,2013-12-02 12:50:00,41.0,50.0,5.8
37,2013-12-02 13:50:00,41.0,48.2,5.8
38,2013-12-02 14:50:00,41.0,48.2,5.8
39,2013-12-02 15:50:00,41.0,48.2,5.8
40,2013-12-02 16:50:00,39.2,46.4,3.5
41,2013-12-02 17:50:00,39.2,46.4,4.6
42,2013-12-02 18:50:00,39.2,46.4,3.5
43,2013-12-02 19:50:00,39.2,44.6,3.5
44,2013-12-02 20:50:00,41.0,44.6,Calm
45,2013-12-02 21:50:00,39.2,44.6,3.5
46,2013-12-02 22:50:00,41.0,42.8,2.3
47,2013-12-02 23:50:00,41.0,42.8,3.5
48,2013-12-03 00:50:00,41.0,42.8,Calm
49,2013-12-03 01:50:00,39.2,42.8,2.3
50,2013-12-03 02:50:00,37.4,44.6,2.3
51,2013-12-03 03:50:00,37.4,44.6,3.5
52,2013-12-03 04:50:00,37.4,44.6,4.6
53,2013-12-03 05:50:00,37.4,44.6,3.5
54,2013-12-03 06:50:00,35.6,42.8,3.5
55,2013-12-03 07:50:00,35.6,42.8,4.6
56,2013-12-03 08:50:00,35.6,42.8,4.6
57,2013-12-03 09:50:00,35.6,42.8,3.5
