,Datetime,Dew_Point_F,Temperature_F,Wind_Speed_MPH
0,2014-12-01 00:00:00,46.0,50.0,8.1
1,2014-12-01 01:00:00,44.0,49.0,8.1
2,2014-12-01 02:00:00,43.0,47.0,10.4
3,2014-12-01 03:00:00,42.0,46.0,9.2
4,2014-12-01 04:00:00,41.0,47.0,8.1
5,2014-12-01 05:00:00,41.0,47.0,10.4
6,2014-12-01 06:00:00,40.0,46.0,10.4
7,2014-12-01 07:00:00,39.0,46.0,8.1
8,2014-12-01 08:00:00,38.0,45.0,9.2
9,2014-12-01 09:00:00,38.0,45.0,10.4
10,2014-12-01 10:00:00,38.0,45.0,8.1
11,2014-12-01 11:00:00,38.0,45.0,10.4
12,2014-12-01 12:00:00,39.0,46.0,5.8
13,2014-12-01 13:00:00,38.0,45.0,8.1
14,2014-12-01 14:00:00,39.0,45.0,6.9
15,2014-12-01 15:00:00,39.0,45.0,6.9
16,2014-12-01 16:00:00,40.0,45.0,5.8
17,2014-12-01 17:00:00,40.0,44.0,6.9
18,2014-12-01 18:00:00,40.0,44.0,6.9
19,2014-12-01 19:00:00,40.0,44.0,4.6
20,2014-12-01 20:00:00,39.0,44.0,5.8
21,2014-12-01 21:00:00,40.0,44.0,5.8
22,2014-12-01 22:00:00,40.0,43.0,4.6
23,2014-12-01 23:00:00,40.0,43.0,4.6
24,2014-12-02 00:00:00,40.0,44.0,5.8
25,2014-12-02 01:00:00,39.0,44.0,6.9
26,2014-12-02 02:00:00,39.0,44.0,5.8
27,2014-12-02 03:00:00,39.0,44.0,6.9
28,2014-12-02 04:00:00,40.0,44.0,4.6
29,2014-12-02 05:00:00,40.0,44.0,4.6
30,2014-12-02 06:00:00,40.0,44.0,4.6
31,2014-12-02 07:00:00,42.0,43.0,3.5
32,2014-12-02 08:00:00,43.0,44.0,3.5
33,2014-12-02 09:00:00,45.0,46.0,9.2
34,2014-12-02 10:00:00,43.0,45.0,12.7
35,2014-12-02 11:00:00,41.0,45.0,13.8
36,2014-12-02 12:00:00,42.0,45.0,11.5
37,2014-12-02 13:00:00,41.0,46.0,13.8
38,2014-12-02 14:00:00,40.0,46.0,16.1
39,2014-12-02 15:00:00,40.0,46.0,15.0
40,2014-12-02 16:00:00,40.0,46.0,17.3
41,2014-12-02 17:00:00,39.0,46.0,13.8
42,2014-12-02 18:00:00,39.0,45.0,15.0
43,2014-12-02 19:00:00,38.0,45.0,15.0
44,2014-12-02 20:00:00,37.0,44.0,13.8
45,2014-12-02 21:00:00,36.0,44.0,15.0
46,2014-12-02 22:00:00,36.0,44.0,17.3
47,2014-12-02 23:00:00,35.0,44.0,13.8
48,2014-12-03 00:00:00,35.0,44.0,13.8
49,2014-12-03 01:00:00,34.0,42.0,12.7
50,2014-12-03 02:00:00,34.0,41.0,10.4
51,2014-12-03 03:00:00,34.0,40.0,11.5
52,2014-12-03 04:00:00,34.0,40.0,10.4
53,2014-12-03 05:00:00,34.0,40.0,9.2
54,2014-12-03 06:00:00,35.0,40.0,10.4
55,2014-12-03 07:00:00,35.0,39.0,8.1
56,2014-12-03 08:00:00,35.0,40.0,8.1
57,2014-12-03 09:00:00,35.0,40.0,9.2
58,2014-12-03 10:00:00,36.0,41.0,8.1
59,2014-12-03 11:00:00,36.0,44.0,11.5
60,2014-12-03 12:00:00,36.0,46.0,12.7
61,2014-12-03 13:00:00,36.0,47.0,12.7
62,2014-12-03 14:00:00,37.0,47.0,11.5
63,2014-12-03 15:00:00,37.0,46.0,10.4
64,2014-12-03 16:00:00,41.0,44.0,9.2
65,2014-12-03 17:00:00,41.0,45.0,8.1
66,2014-12-03 18:00:00,41.0,45.0,8.1
67,2014-12-03 19:00:00,40.0,45.0,8.1
68,2014-12-03 20:00:00,40.0,45.0,6.9
69,2014-12-03 21:00:00,40.0,45.0,8.1
70,2014-12-03 22:00:00,40.0,44.0,9.2
71,2014-12-03 23:00:00,39.0,44.0,5.8
72,2014-12-04 00:00:00,39.0,43.0,6.9
73,2014-12-04 01:00:00,38.0,43.0,9.2
74,2014-12-04 02:00:00,35.0,42.0,6.9
75,2014-12-04 03:00:00,33.0,42.0,8.1
76,2014-12-04 04:00:00,33.0,42.0,8.1
77,2014-12-04 05:00:00,32.0,41.0,11.5
78,2014-12-04 06:00:00,33.0,41.0,8.1
79,2014-12-04 07:00:00,34.0,41.0,9.2
80,2014-12-04 08:00:00,35.0,40.0,8.1
81,2014-12-04 09:00:00,36.0,39.0,9.2
82,2014-12-04 10:00:00,37.0,39.0,6.9
83,2014-12-04 11:00:00,38.0,39.0,6.9
84,2014-12-04 12:00:00,37.0,38.0,3.5
85,2014-12-04 13:00:00,38.0,39.0,3.5
86,2014-12-04 14:00:00,37.0,38.0,2.3
87,2014-12-04 17:00:00,37.0,38.0,4.6
88,2014-12-04 18:00:00,37.0,38.0,2.3
89,2014-12-04 19:00:00,37.0,39.0,2.3
90,2014-12-04 20:00:00,38.0,39.0,2.3
91,2014-12-04 21:00:00,38.0,39.0,2.3
92,2014-12-04 22:00:00,38.0,39.0,2.3
93,2014-12-04 23:00:00,38.0,39.0,2.3
94,2014-12-05 00:00:00,38.0,39.0,2.3
95,2014-12-05 01:00:00,38.0,39.0,2.3
96,2014-12-05 02:00:00,37.0,39.0,3.5
97,2014-12-05 03:00:00,37.0,38.0,3.5
98,2014-12-05 04:00:00,37.0,38.0,3.5
99,2014-12-05 05:00:00,37.0,38.0,2.3
100,2014-12-05 06:00:00,37.0,39.0,3.5
101,2014-12-05 07:00:00,37.0,39.0,5.8
102,2014-12-05 08:00:00,36.0,39.0,3.5
103,2014-12-05 09:00:00,36.0,37.0,4.6
104,2014-12-05 10:00:00,36.0,40.0,5.8
105,2014-12-05 11:00:00,37.0,40.0,4.6
106,2014-12-05 12:00:00,38.0,41.0,6.9
107,2014-12-05 13:00:00,37.0,43.0,6.9
108,2014-12-05 14:00:00,38.0,43.0,6.9
109,2014-12-05 15:00:00,39.0,44.0,6.9
110,2014-12-05 16:00:00,37.0,43.0,8.1
111,2014-12-05 17:00:00,36.0,42.0,5.8
112,2014-12-05 18:00:00,36.0,41.0,5.8
113,2014-12-05 19:00:00,35.0,39.0,5.8
114,2014-12-05 20:00:00,35.0,38.0,6.9
115,2014-12-05 21:00:00,33.0,39.0,6.9
116,2014-12-05 22:00:00,32.0,38.0,5.8
117,2014-12-05 23:00:00,33.0,37.0,6.9
118,2014-12-06 00:00:00,33.0,36.0,6.9
119,2014-12-06 01:00:00,33.0,36.0,6.9
120,2014-12-06 02:00:00,32.0,34.0,4.6
121,2014-12-06 03:00:00,32.0,34.0,4.6
122,2014-12-06 04:00:00,31.0,33.0,3.5
123,2014-12-06 05:00:00,31.0,33.0,3.5
124,2014-12-06 06:00:00,31.0,33.0,4.6
125,2014-12-06 07:00:00,30.0,33.0,4.6
126,2014-12-06 08:00:00,30.0,32.0,6.9
127,2014-12-06 09:00:00,30.0,33.0,4.6
128,2014-12-06 10:00:00,31.0,35.0,6.9
129,2014-12-06 11:00:00,32.0,37.0,6.9
130,2014-12-06 12:00:00,32.0,40.0,3.5
131,2014-12-06 13:00:00,33.0,42.0,3.5
132,2014-12-06 14:00:00,34.0,43.0,4.6
133,2014-12-06 15:00:00,33.0,42.0,5.8
134,2014-12-06 16:00:00,33.0,41.0,6.9
135,2014-12-06 17:00:00,35.0,40.0,8.1
136,2014-12-06 18:00:00,35.0,39.0,6.9
137,2014-12-06 19:00:00,34.0,38.0,5.8
138,2014-12-06 20:00:00,35.0,38.0,4.6
139,2014-12-06 21:00:00,34.0,36.0,5.8
140,2014-12-06 22:00:00,35.0,37.0,6.9
141,2014-12-06 23:00:00,35.0,38.0,6.9
142,2014-12-07 00:00:00,36.0,40.0,6.9
143,2014-12-07 01:00:00,37.0,41.0,10.4
144,2014-12-07 02:00:00,39.0,43.0,9.2
145,2014-12-07 03:00:00,41.0,44.0,10.4
146,2014-12-07 04:00:00,41.0,44.0,9.2
147,2014-12-07 05:00:00,42.0,45.0,11.5
148,2014-12-07 06:00:00,43.0,46.0,9.2
149,2014-12-07 07:00:00,45.0,48.0,15.0
150,2014-12-07 08:00:00,46.0,48.0,12.7
151,2014-12-07 09:00:00,46.0,49.0,11.5
152,2014-12-07 10:00:00,46.0,49.0,13.8
153,2014-12-07 11:00:00,47.0,50.0,17.3
154,2014-12-07 12:00:00,42.0,50.0,11.5
155,2014-12-07 13:00:00,40.0,51.0,12.7
156,2014-12-07 14:00:00,40.0,46.0,17.3
157,2014-12-07 15:00:00,37.0,46.0,10.4
158,2014-12-07 16:00:00,31.0,45.0,15.0
159,2014-12-07 17:00:00,34.0,44.0,9.2
160,2014-12-07 18:00:00,30.0,42.0,10.4
161,2014-12-07 19:00:00,31.0,39.0,9.2
162,2014-12-07 20:00:00,31.0,40.0,12.7
163,2014-12-07 21:00:00,31.0,39.0,13.8
164,2014-12-07 22:00:00,32.0,39.0,10.4
165,2014-12-07 23:00:00,31.0,36.0,4.6
166,2014-12-08 00:00:00,31.0,37.0,6.9
167,2014-12-08 01:00:00,31.0,36.0,9.2
168,2014-12-08 02:00:00,31.0,36.0,9.2
169,2014-12-08 03:00:00,32.0,36.0,5.8
170,2014-12-08 04:00:00,34.0,38.0,8.1
171,2014-12-08 05:00:00,34.0,38.0,9.2
172,2014-12-08 06:00:00,35.0,38.0,Calm
