DateTime,Acorn_grouped,stdorToU,LCLid,KWH/h (per hour)
2011-12-01 01:00:00,Adversity,Std,15,0.422329545454
2011-12-01 01:00:00,Adversity,ToU,3,1.002
2011-12-01 01:00:00,Affluent,Std,22,0.881690483333
2011-12-01 01:00:00,Affluent,ToU,6,0.248375
2011-12-01 01:00:00,Comfortable,Std,26,0.339268115942
2011-12-01 01:00:00,Comfortable,ToU,4,0.531166666667
2011-12-01 02:00:00,Adversity,Std,15,0.582761363637
2011-12-01 02:00:00,Adversity,ToU,3,1.04125
2011-12-01 02:00:00,Affluent,Std,22,0.664166666667
2011-12-01 02:00:00,Affluent,ToU,6,0.225625
2011-12-01 02:00:00,Comfortable,Std,26,0.321557971014
2011-12-01 02:00:00,Comfortable,ToU,4,0.450666666666
2011-12-01 03:00:00,Adversity,Std,15,0.277363636364
2011-12-01 03:00:00,Adversity,ToU,3,1.00475
2011-12-01 03:00:00,Affluent,Std,22,0.672023811905
2011-12-01 03:00:00,Affluent,ToU,6,0.154375
2011-12-01 03:00:00,Comfortable,Std,26,0.322217391304
2011-12-01 03:00:00,Comfortable,ToU,4,0.1795
2011-12-01 04:00:00,Adversity,Std,15,0.237056818182
2011-12-01 04:00:00,Adversity,ToU,3,0.95875
2011-12-01 04:00:00,Affluent,Std,22,0.617714285714
2011-12-01 04:00:00,Affluent,ToU,6,0.210875
2011-12-01 04:00:00,Comfortable,Std,26,0.280630434783
2011-12-01 04:00:00,Comfortable,ToU,4,0.193666666667
2011-12-01 05:00:00,Adversity,Std,15,0.237204545455
2011-12-01 05:00:00,Adversity,ToU,3,0.994
2011-12-01 05:00:00,Affluent,Std,22,0.47080952381
2011-12-01 05:00:00,Affluent,ToU,6,0.184625
2011-12-01 05:00:00,Comfortable,Std,26,0.276673913044
2011-12-01 05:00:00,Comfortable,ToU,4,0.2065
2011-12-01 06:00:00,Adversity,Std,15,0.220443181819
2011-12-01 06:00:00,Adversity,ToU,3,1.02675
2011-12-01 06:00:00,Affluent,Std,22,0.643023809524
2011-12-01 06:00:00,Affluent,ToU,6,0.21025
2011-12-01 06:00:00,Comfortable,Std,26,0.340355072464
2011-12-01 06:00:00,Comfortable,ToU,4,0.226666666667
2011-12-01 07:00:00,Adversity,Std,15,0.403943181818
2011-12-01 07:00:00,Adversity,ToU,3,1.111
2011-12-01 07:00:00,Affluent,Std,22,0.683666664286
2011-12-01 07:00:00,Affluent,ToU,6,0.189625
2011-12-01 07:00:00,Comfortable,Std,26,0.410398550725
2011-12-01 07:00:00,Comfortable,ToU,4,0.181666666666
2011-12-01 08:00:00,Adversity,Std,15,0.522886363636
2011-12-01 08:00:00,Adversity,ToU,3,0.485
2011-12-01 08:00:00,Affluent,Std,22,0.68930952381
2011-12-01 08:00:00,Affluent,ToU,6,0.339375
2011-12-01 08:00:00,Comfortable,Std,26,0.562050724637
2011-12-01 08:00:00,Comfortable,ToU,4,0.271500000001
2011-12-01 09:00:00,Adversity,Std,15,0.590375004545
2011-12-01 09:00:00,Adversity,ToU,3,0.5455
2011-12-01 09:00:00,Affluent,Std,23,0.588883069829
2011-12-01 09:00:00,Affluent,ToU,6,0.38025
2011-12-01 09:00:00,Comfortable,Std,26,0.507855072465
2011-12-01 09:00:00,Comfortable,ToU,4,0.4215
2011-12-01 10:00:00,Adversity,Std,16,0.643559659091
2011-12-01 10:00:00,Adversity,ToU,3,0.446
2011-12-01 10:00:00,Affluent,Std,24,0.58757312253
2011-12-01 10:00:00,Affluent,ToU,6,0.985875
2011-12-01 10:00:00,Comfortable,Std,28,0.49459077381
2011-12-01 10:00:00,Comfortable,ToU,4,0.301666666667
2011-12-01 11:00:00,Adversity,Std,18,0.587550213675
2011-12-01 11:00:00,Adversity,ToU,3,0.4585
2011-12-01 11:00:00,Affluent,Std,25,0.753416666666
2011-12-01 11:00:00,Affluent,ToU,6,0.27575
2011-12-01 11:00:00,Comfortable,Std,30,0.416028717949
2011-12-01 11:00:00,Comfortable,ToU,4,0.390833333334
2011-12-01 12:00:00,Adversity,Std,19,0.473178571428
