,DateTime,Acorn_grouped,stdorToU,N,nrg_cons
0,2012-12-01 00:00:00,Adversity,Std,1507,0.184107030056
1,2012-12-01 00:00:00,Adversity,ToU,296,0.172939300028
2,2012-12-01 00:00:00,Affluent,Std,1692,0.29570132666
3,2012-12-01 00:00:00,Affluent,ToU,486,0.280009274709
4,2012-12-01 00:00:00,Comfortable,Std,1173,0.221428342209
5,2012-12-01 00:00:00,Comfortable,ToU,322,0.197661976576
6,2012-12-01 01:00:00,Adversity,Std,1508,0.447033513418
7,2012-12-01 01:00:00,Adversity,ToU,296,0.287162073656
8,2012-12-01 01:00:00,Affluent,Std,1692,0.489668474589
9,2012-12-01 01:00:00,Affluent,ToU,486,0.411098033602
10,2012-12-01 01:00:00,Comfortable,Std,1174,0.526735340064
11,2012-12-01 01:00:00,Comfortable,ToU,322,0.308985063558
12,2012-12-01 02:00:00,Adversity,Std,1508,0.34894542136
13,2012-12-01 02:00:00,Adversity,ToU,296,0.245688433914
14,2012-12-01 02:00:00,Affluent,Std,1692,0.385705044575
15,2012-12-01 02:00:00,Affluent,ToU,486,0.358350640137
16,2012-12-01 02:00:00,Comfortable,Std,1174,0.40165752947
17,2012-12-01 02:00:00,Comfortable,ToU,322,0.276620704214
18,2012-12-01 03:00:00,Adversity,Std,1508,0.288977453011
19,2012-12-01 03:00:00,Adversity,ToU,296,0.214686647268
20,2012-12-01 03:00:00,Affluent,Std,1692,0.354309983644
21,2012-12-01 03:00:00,Affluent,ToU,486,0.323630623547
22,2012-12-01 03:00:00,Comfortable,Std,1174,0.324691244714
23,2012-12-01 03:00:00,Comfortable,ToU,322,0.266091597987
24,2012-12-01 04:00:00,Adversity,Std,1508,0.263728345494
25,2012-12-01 04:00:00,Adversity,ToU,296,0.190196451718
26,2012-12-01 04:00:00,Affluent,Std,1692,0.348237915914
27,2012-12-01 04:00:00,Affluent,ToU,486,0.328918022905
28,2012-12-01 04:00:00,Comfortable,Std,1174,0.306384386188
29,2012-12-01 04:00:00,Comfortable,ToU,322,0.255023700549
30,2012-12-01 05:00:00,Adversity,Std,1508,0.263370899986
31,2012-12-01 05:00:00,Adversity,ToU,296,0.186292621309
32,2012-12-01 05:00:00,Affluent,Std,1692,0.346197130016
33,2012-12-01 05:00:00,Affluent,ToU,486,0.324359543339
34,2012-12-01 05:00:00,Comfortable,Std,1174,0.298717782909
35,2012-12-01 05:00:00,Comfortable,ToU,322,0.266397618749
36,2012-12-01 06:00:00,Adversity,Std,1508,0.263907966106
37,2012-12-01 06:00:00,Adversity,ToU,296,0.192111067915
38,2012-12-01 06:00:00,Affluent,Std,1692,0.39353455327
39,2012-12-01 06:00:00,Affluent,ToU,486,0.333013168972
40,2012-12-01 06:00:00,Comfortable,Std,1174,0.31909771596
41,2012-12-01 06:00:00,Comfortable,ToU,322,0.294448893548
42,2012-12-01 07:00:00,Adversity,Std,1508,0.300496107366
43,2012-12-01 07:00:00,Adversity,ToU,296,0.232120828482
44,2012-12-01 07:00:00,Affluent,Std,1692,0.450402390702
45,2012-12-01 07:00:00,Affluent,ToU,486,0.463351881456
