DateTime,Acorn_grouped,stdorToU,N,nrg_cons
2011-12-01 01:00:00,Adversity,Std,15,0.273954545454
2011-12-01 01:00:00,Adversity,ToU,3,0.6735
2011-12-01 01:00:00,Affluent,Std,22,0.569523814286
2011-12-01 01:00:00,Affluent,ToU,6,0.157625
2011-12-01 01:00:00,Comfortable,Std,26,0.230231884058
2011-12-01 01:00:00,Comfortable,ToU,4,0.354833333333
2011-12-01 02:00:00,Adversity,Std,15,0.468443181818
2011-12-01 02:00:00,Adversity,ToU,3,0.6955
2011-12-01 02:00:00,Affluent,Std,22,0.443952380953
2011-12-01 02:00:00,Affluent,ToU,6,0.148125
2011-12-01 02:00:00,Comfortable,Std,26,0.210884057971
2011-12-01 02:00:00,Comfortable,ToU,4,0.264666666666
2011-12-01 03:00:00,Adversity,Std,15,0.181886363636
2011-12-01 03:00:00,Adversity,ToU,3,0.66775
2011-12-01 03:00:00,Affluent,Std,22,0.45311905
2011-12-01 03:00:00,Affluent,ToU,6,0.10375
2011-12-01 03:00:00,Comfortable,Std,26,0.21015942029
2011-12-01 03:00:00,Comfortable,ToU,4,0.119
2011-12-01 04:00:00,Adversity,Std,15,0.156284090909
2011-12-01 04:00:00,Adversity,ToU,3,0.63425
2011-12-01 04:00:00,Affluent,Std,22,0.407904761904
2011-12-01 04:00:00,Affluent,ToU,6,0.138375
2011-12-01 04:00:00,Comfortable,Std,26,0.186253623189
2011-12-01 04:00:00,Comfortable,ToU,4,0.128333333333
2011-12-01 05:00:00,Adversity,Std,15,0.156738636364
2011-12-01 05:00:00,Adversity,ToU,3,0.66725
2011-12-01 05:00:00,Affluent,Std,22,0.303666666667
2011-12-01 05:00:00,Affluent,ToU,6,0.124875
2011-12-01 05:00:00,Comfortable,Std,26,0.181362318841
2011-12-01 05:00:00,Comfortable,ToU,4,0.1305
2011-12-01 06:00:00,Adversity,Std,15,0.148329545455
2011-12-01 06:00:00,Adversity,ToU,3,0.6715
2011-12-01 06:00:00,Affluent,Std,22,0.479976190476
2011-12-01 06:00:00,Affluent,ToU,6,0.133625
2011-12-01 06:00:00,Comfortable,Std,26,0.225898550725
2011-12-01 06:00:00,Comfortable,ToU,4,0.157833333333
2011-12-01 07:00:00,Adversity,Std,15,0.27875
2011-12-01 07:00:00,Adversity,ToU,3,0.75025
2011-12-01 07:00:00,Affluent,Std,22,0.449476188095
2011-12-01 07:00:00,Affluent,ToU,6,0.13125
2011-12-01 07:00:00,Comfortable,Std,26,0.279369565218
2011-12-01 07:00:00,Comfortable,ToU,4,0.1185
2011-12-01 08:00:00,Adversity,Std,15,0.356409090909
2011-12-01 08:00:00,Adversity,ToU,3,0.3405
2011-12-01 08:00:00,Affluent,Std,22,0.458785714286
2011-12-01 08:00:00,Affluent,ToU,6,0.2345
2011-12-01 08:00:00,Comfortable,Std,26,0.371601449275
2011-12-01 08:00:00,Comfortable,ToU,4,0.181666666667
2011-12-01 09:00:00,Adversity,Std,15,0.404454547727
2011-12-01 09:00:00,Adversity,ToU,3,0.38125
2011-12-01 09:00:00,Affluent,Std,23,0.380680171278
2011-12-01 09:00:00,Affluent,ToU,6,0.266125
