,DateTime,Acorn_grouped,stdorToU,N,nrg_cons
0,2013-12-01 01:00:00,Adversity,Std,1404,0.407993236264
1,2013-12-01 01:00:00,Adversity,ToU,280,0.27839027084
2,2013-12-01 01:00:00,Affluent,Std,1527,0.513122682692
3,2013-12-01 01:00:00,Affluent,ToU,458,0.36782855408
4,2013-12-01 01:00:00,Comfortable,Std,1113,0.455858624864
5,2013-12-01 01:00:00,Comfortable,ToU,299,0.309246938733
6,2013-12-01 02:00:00,Adversity,Std,1404,0.321308553411
7,2013-12-01 02:00:00,Adversity,ToU,280,0.203814251741
8,2013-12-01 02:00:00,Affluent,Std,1527,0.407544590339
9,2013-12-01 02:00:00,Affluent,ToU,458,0.295405671029
10,2013-12-01 02:00:00,Comfortable,Std,1113,0.334364344204
11,2013-12-01 02:00:00,Comfortable,ToU,299,0.240870825952
12,2013-12-01 03:00:00,Adversity,Std,1404,0.26271251532
13,2013-12-01 03:00:00,Adversity,ToU,280,0.204643635531
14,2013-12-01 03:00:00,Affluent,Std,1527,0.348703631967
15,2013-12-01 03:00:00,Affluent,ToU,458,0.291461257075
16,2013-12-01 03:00:00,Comfortable,Std,1113,0.277852857357
17,2013-12-01 03:00:00,Comfortable,ToU,299,0.209500324786
18,2013-12-01 04:00:00,Adversity,Std,1404,0.236257952067
19,2013-12-01 04:00:00,Adversity,ToU,280,0.19627991453
20,2013-12-01 04:00:00,Affluent,Std,1527,0.321063645462
21,2013-12-01 04:00:00,Affluent,ToU,458,0.282588116304
22,2013-12-01 04:00:00,Comfortable,Std,1113,0.267543310979
23,2013-12-01 04:00:00,Comfortable,ToU,299,0.196599614468
24,2013-12-01 05:00:00,Adversity,Std,1404,0.226142846728
25,2013-12-01 05:00:00,Adversity,ToU,280,0.171513745976
26,2013-12-01 05:00:00,Affluent,Std,1527,0.313278905742
27,2013-12-01 05:00:00,Affluent,ToU,458,0.277575828574
28,2013-12-01 05:00:00,Comfortable,Std,1113,0.266905126458
29,2013-12-01 05:00:00,Comfortable,ToU,299,0.201908908314
30,2013-12-01 06:00:00,Adversity,Std,1404,0.234758216268
31,2013-12-01 06:00:00,Adversity,ToU,280,0.17453270757
32,2013-12-01 06:00:00,Affluent,Std,1527,0.33834270443
33,2013-12-01 06:00:00,Affluent,ToU,458,0.283577858307
34,2013-12-01 06:00:00,Comfortable,Std,1113,0.273189333914
35,2013-12-01 06:00:00,Comfortable,ToU,299,0.205860661228
36,2013-12-01 07:00:00,Adversity,Std,1404,0.264868965597
37,2013-12-01 07:00:00,Adversity,ToU,280,0.221033516484
38,2013-12-01 07:00:00,Affluent,Std,1527,0.3711164244
39,2013-12-01 07:00:00,Affluent,ToU,458,0.373169736517
40,2013-12-01 07:00:00,Comfortable,Std,1113,0.303175938154
41,2013-12-01 07:00:00,Comfortable,ToU,299,0.262729130396
42,2013-12-01 08:00:00,Adversity,Std,1404,0.312487284415
43,2013-12-01 08:00:00,Adversity,ToU,280,0.314211983979
44,2013-12-01 08:00:00,Affluent,Std,1527,0.482743680395
45,2013-12-01 08:00:00,Affluent,ToU,458,0.444403365086
46,2013-12-01 08:00:00,Comfortable,Std,1113,0.378131513734
47,2013-12-01 08:00:00,Comfortable,ToU,299,0.337015859363
48,2013-12-01 09:00:00,Adversity,Std,1404,0.405983180888
49,2013-12-01 09:00:00,Adversity,ToU,280,0.399362939838
50,2013-12-01 09:00:00,Affluent,Std,1526,0.63703415045
51,2013-12-01 09:00:00,Affluent,ToU,458,0.588934781285
52,2013-12-01 09:00:00,Comfortable,Std,1113,0.503710789035
53,2013-12-01 09:00:00,Comfortable,ToU,299,0.421633417887
54,2013-12-01 10:00:00,Adversity,Std,1404,0.46819694933
55,2013-12-01 10:00:00,Adversity,ToU,280,0.48103221057
56,2013-12-01 10:00:00,Affluent,Std,1526,0.695048670112
57,2013-12-01 10:00:00,Affluent,ToU,458,0.653587095285
58,2013-12-01 10:00:00,Comfortable,Std,1113,0.558768193654
59,2013-12-01 10:00:00,Comfortable,ToU,299,0.470328543504
60,2013-12-01 11:00:00,Adversity,Std,1404,0.482780118001
61,2013-12-01 11:00:00,Adversity,ToU,280,0.517995155024
62,2013-12-01 11:00:00,Affluent,Std,1526,0.722009871226
63,2013-12-01 11:00:00,Affluent,ToU,458,0.651550186318
64,2013-12-01 11:00:00,Comfortable,Std,1113,0.565093099425
65,2013-12-01 11:00:00,Comfortable,ToU,299,0.441184181562
66,2013-12-01 12:00:00,Adversity,Std,1404,0.499976020492
67,2013-12-01 12:00:00,Adversity,ToU,280,0.554902364685
68,2013-12-01 12:00:00,Affluent,Std,1526,0.716455487371
69,2013-12-01 12:00:00,Affluent,ToU,458,0.649930739248
70,2013-12-01 12:00:00,Comfortable,Std,1113,0.603393999492
71,2013-12-01 12:00:00,Comfortable,ToU,299,0.457157842432
72,2013-12-01 13:00:00,Adversity,Std,1404,0.513439454257
73,2013-12-01 13:00:00,Adversity,ToU,280,0.493241570235
74,2013-12-01 13:00:00,Affluent,Std,1526,0.751931665151
75,2013-12-01 13:00:00,Affluent,ToU,458,0.643741959931
76,2013-12-01 13:00:00,Comfortable,Std,1113,0.599150182016
77,2013-12-01 13:00:00,Comfortable,ToU,299,0.492104047404
78,2013-12-01 14:00:00,Adversity,Std,1404,0.52069179337
79,2013-12-01 14:00:00,Adversity,ToU,280,0.545529908384
80,2013-12-01 14:00:00,Affluent,Std,1525,0.760922357601
81,2013-12-01 14:00:00,Affluent,ToU,457,0.724353783452
82,2013-12-01 14:00:00,Comfortable,Std,1113,0.627478183079
83,2013-12-01 14:00:00,Comfortable,ToU,299,0.447133344724
84,2013-12-01 15:00:00,Adversity,Std,1404,0.494993009534
85,2013-12-01 15:00:00,Adversity,ToU,280,0.532971390979
