,LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
10783,MAC000147,ToU,2012-02-01 00:00:00.0000000, 0.115 ,ACORN-F,Comfortable
10784,MAC000147,ToU,2012-02-01 00:30:00.0000000, 0.036 ,ACORN-F,Comfortable
10785,MAC000147,ToU,2012-02-01 01:00:00.0000000, 0.051 ,ACORN-F,Comfortable
10786,MAC000147,ToU,2012-02-01 01:30:00.0000000, 0.053 ,ACORN-F,Comfortable
10787,MAC000147,ToU,2012-02-01 02:00:00.0000000, 0.054 ,ACORN-F,Comfortable
10788,MAC000147,ToU,2012-02-01 02:30:00.0000000, 0.047 ,ACORN-F,Comfortable
10789,MAC000147,ToU,2012-02-01 03:00:00.0000000, 0.04 ,ACORN-F,Comfortable
10790,MAC000147,ToU,2012-02-01 03:30:00.0000000, 0.048 ,ACORN-F,Comfortable
10791,MAC000147,ToU,2012-02-01 04:00:00.0000000, 0.055 ,ACORN-F,Comfortable
10792,MAC000147,ToU,2012-02-01 04:30:00.0000000, 0.05 ,ACORN-F,Comfortable
10793,MAC000147,ToU,2012-02-01 05:00:00.0000000, 0.036 ,ACORN-F,Comfortable
10794,MAC000147,ToU,2012-02-01 05:30:00.0000000, 0.049 ,ACORN-F,Comfortable
10795,MAC000147,ToU,2012-02-01 06:00:00.0000000, 0.046 ,ACORN-F,Comfortable
10796,MAC000147,ToU,2012-02-01 06:30:00.0000000, 0.059 ,ACORN-F,Comfortable
10797,MAC000147,ToU,2012-02-01 07:00:00.0000000, 0.042 ,ACORN-F,Comfortable
10798,MAC000147,ToU,2012-02-01 07:30:00.0000000, 0.195 ,ACORN-F,Comfortable
10799,MAC000147,ToU,2012-02-01 08:00:00.0000000, 0.141 ,ACORN-F,Comfortable
10800,MAC000147,ToU,2012-02-01 08:30:00.0000000, 0.154 ,ACORN-F,Comfortable
10801,MAC000147,ToU,2012-02-01 09:00:00.0000000, 0.094 ,ACORN-F,Comfortable
10802,MAC000147,ToU,2012-02-01 09:30:00.0000000, 0.098 ,ACORN-F,Comfortable
10803,MAC000147,ToU,2012-02-01 10:00:00.0000000, 0.085 ,ACORN-F,Comfortable
