,LCLid,stdorToU,DateTime,KWH/hh (per half hour) ,Acorn,Acorn_grouped
24507,MAC000303,ToU,2013-07-01 00:00:00.0000000, 0.034 ,ACORN-L,Adversity
24508,MAC000303,ToU,2013-07-01 00:30:00.0000000, 0.039 ,ACORN-L,Adversity
24509,MAC000303,ToU,2013-07-01 01:00:00.0000000, 0.028 ,ACORN-L,Adversity
24510,MAC000303,ToU,2013-07-01 01:30:00.0000000, 0.04 ,ACORN-L,Adversity
24511,MAC000303,ToU,2013-07-01 02:00:00.0000000, 0.035 ,ACORN-L,Adversity
24512,MAC000303,ToU,2013-07-01 02:30:00.0000000, 0.033 ,ACORN-L,Adversity
24513,MAC000303,ToU,2013-07-01 03:00:00.0000000, 0.04 ,ACORN-L,Adversity
24514,MAC000303,ToU,2013-07-01 03:30:00.0000000, 0.028 ,ACORN-L,Adversity
24515,MAC000303,ToU,2013-07-01 04:00:00.0000000, 0.04 ,ACORN-L,Adversity
24516,MAC000303,ToU,2013-07-01 04:30:00.0000000, 0.034 ,ACORN-L,Adversity
24517,MAC000303,ToU,2013-07-01 05:00:00.0000000, 0.034 ,ACORN-L,Adversity
24518,MAC000303,ToU,2013-07-01 05:30:00.0000000, 0.04 ,ACORN-L,Adversity
24519,MAC000303,ToU,2013-07-01 06:00:00.0000000, 0.078 ,ACORN-L,Adversity
24520,MAC000303,ToU,2013-07-01 06:30:00.0000000, 0.135 ,ACORN-L,Adversity
24521,MAC000303,ToU,2013-07-01 07:00:00.0000000, 0.141 ,ACORN-L,Adversity
24522,MAC000303,ToU,2013-07-01 07:30:00.0000000, 0.123 ,ACORN-L,Adversity
24523,MAC000303,ToU,2013-07-01 08:00:00.0000000, 0.165 ,ACORN-L,Adversity
24524,MAC000303,ToU,2013-07-01 08:30:00.0000000, 0.04 ,ACORN-L,Adversity
24525,MAC000303,ToU,2013-07-01 09:00:00.0000000, 0.052 ,ACORN-L,Adversity
24526,MAC000303,ToU,2013-07-01 09:30:00.0000000, 0.196 ,ACORN-L,Adversity
24527,MAC000303,ToU,2013-07-01 10:00:00.0000000, 0.268 ,ACORN-L,Adversity
24528,MAC000303,ToU,2013-07-01 10:30:00.0000000, 0.244 ,ACORN-L,Adversity
24529,MAC000303,ToU,2013-07-01 11:00:00.0000000, 0.232 ,ACORN-L,Adversity
24530,MAC000303,ToU,2013-07-01 11:30:00.0000000, 0.343 ,ACORN-L,Adversity
24531,MAC000303,ToU,2013-07-01 12:00:00.0000000, 0.135 ,ACORN-L,Adversity
24532,MAC000303,ToU,2013-07-01 12:30:00.0000000, 0.109 ,ACORN-L,Adversity
24533,MAC000303,ToU,2013-07-01 13:00:00.0000000, 0.12 ,ACORN-L,Adversity
24534,MAC000303,ToU,2013-07-01 13:30:00.0000000, 0.126 ,ACORN-L,Adversity
24535,MAC000303,ToU,2013-07-01 14:00:00.0000000, 0.266 ,ACORN-L,Adversity
24536,MAC000303,ToU,2013-07-01 14:30:00.0000000, 0.123 ,ACORN-L,Adversity
24537,MAC000303,ToU,2013-07-01 15:00:00.0000000, 0.118 ,ACORN-L,Adversity
24538,MAC000303,ToU,2013-07-01 15:30:00.0000000, 0.3 ,ACORN-L,Adversity
24539,MAC000303,ToU,2013-07-01 16:00:00.0000000, 0.212 ,ACORN-L,Adversity
24540,MAC000303,ToU,2013-07-01 16:30:00.0000000, 0.044 ,ACORN-L,Adversity
24541,MAC000303,ToU,2013-07-01 17:00:00.0000000, 0.134 ,ACORN-L,Adversity
24542,MAC000303,ToU,2013-07-01 17:30:00.0000000, 0.144 ,ACORN-L,Adversity
24543,MAC000303,ToU,2013-07-01 18:00:00.0000000, 0.111 ,ACORN-L,Adversity
24544,MAC000303,ToU,2013-07-01 18:30:00.0000000, 0.135 ,ACORN-L,Adversity
24545,MAC000303,ToU,2013-07-01 19:00:00.0000000, 0.202 ,ACORN-L,Adversity
24546,MAC000303,ToU,2013-07-01 19:30:00.0000000, 0.141 ,ACORN-L,Adversity
24547,MAC000303,ToU,2013-07-01 20:00:00.0000000, 0.138 ,ACORN-L,Adversity
24548,MAC000303,ToU,2013-07-01 20:30:00.0000000, 0.269 ,ACORN-L,Adversity
24549,MAC000303,ToU,2013-07-01 21:00:00.0000000, 0.192 ,ACORN-L,Adversity
24550,MAC000303,ToU,2013-07-01 21:30:00.0000000, 0.17 ,ACORN-L,Adversity
24551,MAC000303,ToU,2013-07-01 22:00:00.0000000, 0.155 ,ACORN-L,Adversity
24552,MAC000303,ToU,2013-07-01 22:30:00.0000000, 0.099 ,ACORN-L,Adversity
24553,MAC000303,ToU,2013-07-01 23:00:00.0000000, 0.053 ,ACORN-L,Adversity
24554,MAC000303,ToU,2013-07-01 23:30:00.0000000, 0.032 ,ACORN-L,Adversity
24555,MAC000303,ToU,2013-07-02 00:00:00.0000000, 0.042 ,ACORN-L,Adversity
24556,MAC000303,ToU,2013-07-02 00:30:00.0000000, 0.031 ,ACORN-L,Adversity
24557,MAC000303,ToU,2013-07-02 01:00:00.0000000, 0.04 ,ACORN-L,Adversity
24558,MAC000303,ToU,2013-07-02 01:30:00.0000000, 0.033 ,ACORN-L,Adversity
24559,MAC000303,ToU,2013-07-02 02:00:00.0000000, 0.037 ,ACORN-L,Adversity
24560,MAC000303,ToU,2013-07-02 02:30:00.0000000, 0.047 ,ACORN-L,Adversity
24561,MAC000303,ToU,2013-07-02 03:00:00.0000000, 0.036 ,ACORN-L,Adversity
24562,MAC000303,ToU,2013-07-02 03:30:00.0000000, 0.039 ,ACORN-L,Adversity
24563,MAC000303,ToU,2013-07-02 04:00:00.0000000, 0.027 ,ACORN-L,Adversity
24564,MAC000303,ToU,2013-07-02 04:30:00.0000000, 0.039 ,ACORN-L,Adversity
24565,MAC000303,ToU,2013-07-02 05:00:00.0000000, 0.03 ,ACORN-L,Adversity
24566,MAC000303,ToU,2013-07-02 05:30:00.0000000, 0.043 ,ACORN-L,Adversity
24567,MAC000303,ToU,2013-07-02 06:00:00.0000000, 0.083 ,ACORN-L,Adversity
24568,MAC000303,ToU,2013-07-02 06:30:00.0000000, 0.124 ,ACORN-L,Adversity
24569,MAC000303,ToU,2013-07-02 07:00:00.0000000, 0.127 ,ACORN-L,Adversity
24570,MAC000303,ToU,2013-07-02 07:30:00.0000000, 0.074 ,ACORN-L,Adversity
24571,MAC000303,ToU,2013-07-02 08:00:00.0000000, 0.086 ,ACORN-L,Adversity
24572,MAC000303,ToU,2013-07-02 08:30:00.0000000, 0.102 ,ACORN-L,Adversity
24573,MAC000303,ToU,2013-07-02 09:00:00.0000000, 0.132 ,ACORN-L,Adversity
24574,MAC000303,ToU,2013-07-02 09:30:00.0000000, 0.045 ,ACORN-L,Adversity
24575,MAC000303,ToU,2013-07-02 10:00:00.0000000, 0.076 ,ACORN-L,Adversity
24576,MAC000303,ToU,2013-07-02 10:30:00.0000000, 0.089 ,ACORN-L,Adversity
24577,MAC000303,ToU,2013-07-02 11:00:00.0000000, 0.16 ,ACORN-L,Adversity
24578,MAC000303,ToU,2013-07-02 11:30:00.0000000, 0.329 ,ACORN-L,Adversity
24579,MAC000303,ToU,2013-07-02 12:00:00.0000000, 0.09 ,ACORN-L,Adversity
24580,MAC000303,ToU,2013-07-02 12:30:00.0000000, 0.118 ,ACORN-L,Adversity
24581,MAC000303,ToU,2013-07-02 13:00:00.0000000, 0.123 ,ACORN-L,Adversity
24582,MAC000303,ToU,2013-07-02 13:30:00.0000000, 0.132 ,ACORN-L,Adversity
24583,MAC000303,ToU,2013-07-02 14:00:00.0000000, 0.191 ,ACORN-L,Adversity
24584,MAC000303,ToU,2013-07-02 14:30:00.0000000, 0.115 ,ACORN-L,Adversity
24585,MAC000303,ToU,2013-07-02 15:00:00.0000000, 0.203 ,ACORN-L,Adversity
24586,MAC000303,ToU,2013-07-02 15:30:00.0000000, 0.114 ,ACORN-L,Adversity
24587,MAC000303,ToU,2013-07-02 16:00:00.0000000, 0.172 ,ACORN-L,Adversity
24588,MAC000303,ToU,2013-07-02 16:30:00.0000000, 0.122 ,ACORN-L,Adversity
24589,MAC000303,ToU,2013-07-02 17:00:00.0000000, 0.123 ,ACORN-L,Adversity
24590,MAC000303,ToU,2013-07-02 17:30:00.0000000, 0.119 ,ACORN-L,Adversity
24591,MAC000303,ToU,2013-07-02 18:00:00.0000000, 0.122 ,ACORN-L,Adversity
24592,MAC000303,ToU,2013-07-02 18:30:00.0000000, 0.124 ,ACORN-L,Adversity
24593,MAC000303,ToU,2013-07-02 19:00:00.0000000, 0.226 ,ACORN-L,Adversity
