GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US36047000100,36047000100,"Census Tract 1, Kings County, New York",80318,17695
1400000US36047000200,36047000200,"Census Tract 2, Kings County, New York",35500,15998
1400000US36047000301,36047000301,"Census Tract 3.01, Kings County, New York",105509,32262
1400000US36047000501,36047000501,"Census Tract 5.01, Kings County, New York",110625,22885
1400000US36047000502,36047000502,"Census Tract 5.02, Kings County, New York",90375,17436
1400000US36047000700,36047000700,"Census Tract 7, Kings County, New York",135096,18339
1400000US36047000900,36047000900,"Census Tract 9, Kings County, New York",117348,17674
1400000US36047001100,36047001100,"Census Tract 11, Kings County, New York",103500,14915
1400000US36047001300,36047001300,"Census Tract 13, Kings County, New York",109821,10010
1400000US36047001500,36047001500,"Census Tract 15, Kings County, New York",90993,10241
1400000US36047001800,36047001800,"Census Tract 18, Kings County, New York",-,**
1400000US36047002000,36047002000,"Census Tract 20, Kings County, New York",71442,30652
1400000US36047002100,36047002100,"Census Tract 21, Kings County, New York",204205,15677
1400000US36047002200,36047002200,"Census Tract 22, Kings County, New York",38702,6992
1400000US36047002300,36047002300,"Census Tract 23, Kings County, New York",20169,3357
1400000US36047002901,36047002901,"Census Tract 29.01, Kings County, New York",14872,2902
1400000US36047003000,36047003000,"Census Tract 30, Kings County, New York",65699,15190
1400000US36047003100,36047003100,"Census Tract 31, Kings County, New York",71797,10290
1400000US36047003300,36047003300,"Census Tract 33, Kings County, New York",98472,23570
1400000US36047003400,36047003400,"Census Tract 34, Kings County, New York",84091,41681
1400000US36047003500,36047003500,"Census Tract 35, Kings County, New York",60435,14787
1400000US36047003600,36047003600,"Census Tract 36, Kings County, New York",70081,12906
1400000US36047003700,36047003700,"Census Tract 37, Kings County, New York",101579,24819
1400000US36047003800,36047003800,"Census Tract 38, Kings County, New York",99459,8715
1400000US36047003900,36047003900,"Census Tract 39, Kings County, New York",104728,35405
1400000US36047004100,36047004100,"Census Tract 41, Kings County, New York",108105,18045
1400000US36047004300,36047004300,"Census Tract 43, Kings County, New York",108929,17075
1400000US36047004400,36047004400,"Census Tract 44, Kings County, New York",86667,12442
1400000US36047004500,36047004500,"Census Tract 45, Kings County, New York",126250,39155
1400000US36047004600,36047004600,"Census Tract 46, Kings County, New York",90556,9249
1400000US36047004700,36047004700,"Census Tract 47, Kings County, New York",104471,21830
1400000US36047004900,36047004900,"Census Tract 49, Kings County, New York",104444,7880
1400000US36047005000,36047005000,"Census Tract 50, Kings County, New York",82802,15109
1400000US36047005100,36047005100,"Census Tract 51, Kings County, New York",87438,13373
1400000US36047005201,36047005201,"Census Tract 52.01, Kings County, New York",17129,6504
1400000US36047005202,36047005202,"Census Tract 52.02, Kings County, New York",68750,14999
1400000US36047005300,36047005300,"Census Tract 53, Kings County, New York",70737,11236
1400000US36047005400,36047005400,"Census Tract 54, Kings County, New York",57928,12181
1400000US36047005601,36047005601,"Census Tract 56.01, Kings County, New York",52761,5310
1400000US36047005602,36047005602,"Census Tract 56.02, Kings County, New York",53167,11471
1400000US36047005800,36047005800,"Census Tract 58, Kings County, New York",47118,7174
1400000US36047005900,36047005900,"Census Tract 59, Kings County, New York",57135,22119
1400000US36047006000,36047006000,"Census Tract 60, Kings County, New York",68438,9334
1400000US36047006200,36047006200,"Census Tract 62, Kings County, New York",45139,4263
1400000US36047006300,36047006300,"Census Tract 63, Kings County, New York",90341,12725
1400000US36047006400,36047006400,"Census Tract 64, Kings County, New York",51667,10595
1400000US36047006500,36047006500,"Census Tract 65, Kings County, New York",104172,11867
1400000US36047006600,36047006600,"Census Tract 66, Kings County, New York",59852,6074
1400000US36047006700,36047006700,"Census Tract 67, Kings County, New York",156118,18592
1400000US36047006800,36047006800,"Census Tract 68, Kings County, New York",37012,7262
1400000US36047006900,36047006900,"Census Tract 69, Kings County, New York",116058,28514
1400000US36047007000,36047007000,"Census Tract 70, Kings County, New York",43309,9426
1400000US36047007100,36047007100,"Census Tract 71, Kings County, New York",31632,9949
1400000US36047007200,36047007200,"Census Tract 72, Kings County, New York",37140,4072
1400000US36047007400,36047007400,"Census Tract 74, Kings County, New York",40625,8222
1400000US36047007500,36047007500,"Census Tract 75, Kings County, New York",135218,23526
1400000US36047007600,36047007600,"Census Tract 76, Kings County, New York",32616,6397
1400000US36047007700,36047007700,"Census Tract 77, Kings County, New York",120290,28282
1400000US36047007800,36047007800,"Census Tract 78, Kings County, New York",39375,8489
1400000US36047008000,36047008000,"Census Tract 80, Kings County, New York",49081,5426
1400000US36047008200,36047008200,"Census Tract 82, Kings County, New York",42412,7003
1400000US36047008400,36047008400,"Census Tract 84, Kings County, New York",43942,13545
1400000US36047008500,36047008500,"Census Tract 85, Kings County, New York",14002,3430
1400000US36047008600,36047008600,"Census Tract 86, Kings County, New York",-,**
1400000US36047008800,36047008800,"Census Tract 88, Kings County, New York",40982,14970
1400000US36047009000,36047009000,"Census Tract 90, Kings County, New York",33654,5075
1400000US36047009200,36047009200,"Census Tract 92, Kings County, New York",39122,11102
1400000US36047009400,36047009400,"Census Tract 94, Kings County, New York",38460,7430
1400000US36047009600,36047009600,"Census Tract 96, Kings County, New York",38148,4315
1400000US36047009800,36047009800,"Census Tract 98, Kings County, New York",29232,7182
1400000US36047010000,36047010000,"Census Tract 100, Kings County, New York",27529,2771
1400000US36047010100,36047010100,"Census Tract 101, Kings County, New York",44259,11524
1400000US36047010200,36047010200,"Census Tract 102, Kings County, New York",43646,9865
1400000US36047010400,36047010400,"Census Tract 104, Kings County, New York",34412,13144
1400000US36047010600,36047010600,"Census Tract 106, Kings County, New York",33090,10223
1400000US36047010800,36047010800,"Census Tract 108, Kings County, New York",31400,8918
1400000US36047011000,36047011000,"Census Tract 110, Kings County, New York",38618,5444
1400000US36047011200,36047011200,"Census Tract 112, Kings County, New York",30142,8335
1400000US36047011400,36047011400,"Census Tract 114, Kings County, New York",42159,6104
1400000US36047011600,36047011600,"Census Tract 116, Kings County, New York",34279,10707
1400000US36047011700,36047011700,"Census Tract 117, Kings County, New York",74125,11264
1400000US36047011800,36047011800,"Census Tract 118, Kings County, New York",29438,8560
1400000US36047011900,36047011900,"Census Tract 119, Kings County, New York",82500,11726
1400000US36047012000,36047012000,"Census Tract 120, Kings County, New York",55000,52392
1400000US36047012100,36047012100,"Census Tract 121, Kings County, New York",81875,13179
1400000US36047012200,36047012200,"Census Tract 122, Kings County, New York",35363,9888
1400000US36047012600,36047012600,"Census Tract 126, Kings County, New York",36993,6241
1400000US36047012700,36047012700,"Census Tract 127, Kings County, New York",45787,14662
1400000US36047012801,36047012801,"Census Tract 128.01, Kings County, New York",44583,14571
1400000US36047012901,36047012901,"Census Tract 129.01, Kings County, New York",77898,8264
1400000US36047012902,36047012902,"Census Tract 129.02, Kings County, New York",87321,22370
1400000US36047013000,36047013000,"Census Tract 130, Kings County, New York",50306,17331
1400000US36047013100,36047013100,"Census Tract 131, Kings County, New York",104688,24087
1400000US36047013200,36047013200,"Census Tract 132, Kings County, New York",56442,14855
1400000US36047013300,36047013300,"Census Tract 133, Kings County, New York",132768,23713
1400000US36047013400,36047013400,"Census Tract 134, Kings County, New York",67500,11885
1400000US36047013500,36047013500,"Census Tract 135, Kings County, New York",118472,25325
1400000US36047013600,36047013600,"Census Tract 136, Kings County, New York",68182,8717
1400000US36047013700,36047013700,"Census Tract 137, Kings County, New York",94925,11494
1400000US36047013800,36047013800,"Census Tract 138, Kings County, New York",61336,15796
1400000US36047013900,36047013900,"Census Tract 139, Kings County, New York",89083,15616
1400000US36047014000,36047014000,"Census Tract 140, Kings County, New York",58939,10552
1400000US36047014100,36047014100,"Census Tract 141, Kings County, New York",91719,24466
1400000US36047014200,36047014200,"Census Tract 142, Kings County, New York",49350,14830
1400000US36047014300,36047014300,"Census Tract 143, Kings County, New York",67955,12734
1400000US36047014500,36047014500,"Census Tract 145, Kings County, New York",62602,8418
1400000US36047014700,36047014700,"Census Tract 147, Kings County, New York",70669,9581
1400000US36047014800,36047014800,"Census Tract 148, Kings County, New York",60486,17385
1400000US36047014900,36047014900,"Census Tract 149, Kings County, New York",104735,22116
1400000US36047015000,36047015000,"Census Tract 150, Kings County, New York",89663,13671
1400000US36047015100,36047015100,"Census Tract 151, Kings County, New York",112824,20679
1400000US36047015200,36047015200,"Census Tract 152, Kings County, New York",70357,16458
1400000US36047015300,36047015300,"Census Tract 153, Kings County, New York",110303,23508
1400000US36047015400,36047015400,"Census Tract 154, Kings County, New York",-,**
1400000US36047015500,36047015500,"Census Tract 155, Kings County, New York",108715,31195
1400000US36047015700,36047015700,"Census Tract 157, Kings County, New York",106781,17170
1400000US36047015900,36047015900,"Census Tract 159, Kings County, New York",117704,21151
1400000US36047016000,36047016000,"Census Tract 160, Kings County, New York",61078,7545
1400000US36047016100,36047016100,"Census Tract 161, Kings County, New York",101563,9984
1400000US36047016200,36047016200,"Census Tract 162, Kings County, New York",70441,9132
1400000US36047016300,36047016300,"Census Tract 163, Kings County, New York",79286,13118
1400000US36047016400,36047016400,"Census Tract 164, Kings County, New York",60357,30100
1400000US36047016500,36047016500,"Census Tract 165, Kings County, New York",122537,25740
1400000US36047016600,36047016600,"Census Tract 166, Kings County, New York",66771,26455
1400000US36047016700,36047016700,"Census Tract 167, Kings County, New York",108365,27267
1400000US36047016800,36047016800,"Census Tract 168, Kings County, New York",82917,16136
1400000US36047016900,36047016900,"Census Tract 169, Kings County, New York",73051,11349
1400000US36047017000,36047017000,"Census Tract 170, Kings County, New York",67976,15049
1400000US36047017100,36047017100,"Census Tract 171, Kings County, New York",103319,13209
1400000US36047017200,36047017200,"Census Tract 172, Kings County, New York",92583,23663
1400000US36047017400,36047017400,"Census Tract 174, Kings County, New York",66941,17551
1400000US36047017500,36047017500,"Census Tract 175, Kings County, New York",-,**
1400000US36047017600,36047017600,"Census Tract 176, Kings County, New York",53347,7092
1400000US36047017700,36047017700,"Census Tract 177, Kings County, New York",-,**
1400000US36047017800,36047017800,"Census Tract 178, Kings County, New York",54813,12533
1400000US36047017900,36047017900,"Census Tract 179, Kings County, New York",56782,16137
1400000US36047018000,36047018000,"Census Tract 180, Kings County, New York",55280,11675
1400000US36047018100,36047018100,"Census Tract 181, Kings County, New York",82255,8846
1400000US36047018200,36047018200,"Census Tract 182, Kings County, New York",38708,8832
1400000US36047018300,36047018300,"Census Tract 183, Kings County, New York",93456,11829
1400000US36047018400,36047018400,"Census Tract 184, Kings County, New York",69375,13707
1400000US36047018501,36047018501,"Census Tract 185.01, Kings County, New York",20635,4738
1400000US36047018600,36047018600,"Census Tract 186, Kings County, New York",69963,16583
1400000US36047018700,36047018700,"Census Tract 187, Kings County, New York",93393,35014
1400000US36047018800,36047018800,"Census Tract 188, Kings County, New York",53065,5569
1400000US36047019000,36047019000,"Census Tract 190, Kings County, New York",43000,5761
1400000US36047019100,36047019100,"Census Tract 191, Kings County, New York",86250,20065
1400000US36047019200,36047019200,"Census Tract 192, Kings County, New York",39318,4057
1400000US36047019300,36047019300,"Census Tract 193, Kings County, New York",53450,2380
1400000US36047019400,36047019400,"Census Tract 194, Kings County, New York",39750,16884
1400000US36047019500,36047019500,"Census Tract 195, Kings County, New York",72119,12067
1400000US36047019600,36047019600,"Census Tract 196, Kings County, New York",41937,5718
1400000US36047019700,36047019700,"Census Tract 197, Kings County, New York",76618,10960
1400000US36047019800,36047019800,"Census Tract 198, Kings County, New York",56827,10366
1400000US36047019900,36047019900,"Census Tract 199, Kings County, New York",65379,13547
1400000US36047020000,36047020000,"Census Tract 200, Kings County, New York",63611,15260
1400000US36047020100,36047020100,"Census Tract 201, Kings County, New York",81885,9272
1400000US36047020200,36047020200,"Census Tract 202, Kings County, New York",71250,45828
1400000US36047020300,36047020300,"Census Tract 203, Kings County, New York",111875,25615
1400000US36047020400,36047020400,"Census Tract 204, Kings County, New York",67670,9533
1400000US36047020500,36047020500,"Census Tract 205, Kings County, New York",78713,9782
1400000US36047020600,36047020600,"Census Tract 206, Kings County, New York",82240,16825
1400000US36047020700,36047020700,"Census Tract 207, Kings County, New York",100976,15977
1400000US36047020800,36047020800,"Census Tract 208, Kings County, New York",55215,6681
1400000US36047021000,36047021000,"Census Tract 210, Kings County, New York",49600,13143
1400000US36047021100,36047021100,"Census Tract 211, Kings County, New York",52083,16890
