GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US36005000100,36005000100,"Census Tract 1, Bronx County, New York",-,**
1400000US36005000200,36005000200,"Census Tract 2, Bronx County, New York",74837,18514
1400000US36005000400,36005000400,"Census Tract 4, Bronx County, New York",77991,5195
1400000US36005001600,36005001600,"Census Tract 16, Bronx County, New York",32354,4876
1400000US36005001900,36005001900,"Census Tract 19, Bronx County, New York",34635,4017
1400000US36005002000,36005002000,"Census Tract 20, Bronx County, New York",23423,5396
1400000US36005002300,36005002300,"Census Tract 23, Bronx County, New York",14304,1605
1400000US36005002400,36005002400,"Census Tract 24, Bronx County, New York",-,**
1400000US36005002500,36005002500,"Census Tract 25, Bronx County, New York",15683,2145
1400000US36005002701,36005002701,"Census Tract 27.01, Bronx County, New York",20159,6139
1400000US36005002702,36005002702,"Census Tract 27.02, Bronx County, New York",18416,3425
1400000US36005002800,36005002800,"Census Tract 28, Bronx County, New York",50388,8345
1400000US36005003100,36005003100,"Census Tract 31, Bronx County, New York",39962,14743
1400000US36005003300,36005003300,"Census Tract 33, Bronx County, New York",19784,1933
1400000US36005003500,36005003500,"Census Tract 35, Bronx County, New York",22267,4843
1400000US36005003700,36005003700,"Census Tract 37, Bronx County, New York",9327,16913
1400000US36005003800,36005003800,"Census Tract 38, Bronx County, New York",46534,13068
1400000US36005003900,36005003900,"Census Tract 39, Bronx County, New York",27608,7558
1400000US36005004001,36005004001,"Census Tract 40.01, Bronx County, New York",47841,11768
1400000US36005004100,36005004100,"Census Tract 41, Bronx County, New York",18516,2187
1400000US36005004200,36005004200,"Census Tract 42, Bronx County, New York",22135,5963
1400000US36005004300,36005004300,"Census Tract 43, Bronx County, New York",21827,3186
1400000US36005004400,36005004400,"Census Tract 44, Bronx County, New York",23102,3874
1400000US36005004600,36005004600,"Census Tract 46, Bronx County, New York",44297,9953
1400000US36005004800,36005004800,"Census Tract 48, Bronx County, New York",24437,4671
1400000US36005005001,36005005001,"Census Tract 50.01, Bronx County, New York",31250,8547
1400000US36005005002,36005005002,"Census Tract 50.02, Bronx County, New York",29338,7985
1400000US36005005100,36005005100,"Census Tract 51, Bronx County, New York",20233,2108
1400000US36005005200,36005005200,"Census Tract 52, Bronx County, New York",16810,4559
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",16173,2970
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",32254,9391
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",17708,4228
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",38244,6717
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",43125,13328
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",47993,10080
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",24668,5265
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",33809,5627
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",27048,9137
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",21959,3920
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",21443,2890
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",31607,4836
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",19824,7198
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",33712,9164
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",39792,8871
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",44844,9555
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",20678,5175
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",44836,7433
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",22055,2733
