GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US36061000100,36061000100,"Census Tract 1, New York County, New York",-,**
1400000US36061000201,36061000201,"Census Tract 2.01, New York County, New York",23036,5071
1400000US36061000202,36061000202,"Census Tract 2.02, New York County, New York",29418,3088
1400000US36061000500,36061000500,"Census Tract 5, New York County, New York",-,**
1400000US36061000600,36061000600,"Census Tract 6, New York County, New York",18944,2372
1400000US36061000700,36061000700,"Census Tract 7, New York County, New York",114519,13975
1400000US36061000800,36061000800,"Census Tract 8, New York County, New York",24366,10555
1400000US36061000900,36061000900,"Census Tract 9, New York County, New York",170455,46004
1400000US36061001001,36061001001,"Census Tract 10.01, New York County, New York",83259,22977
1400000US36061001002,36061001002,"Census Tract 10.02, New York County, New York",17972,3087
1400000US36061001200,36061001200,"Census Tract 12, New York County, New York",42219,21577
1400000US36061001300,36061001300,"Census Tract 13, New York County, New York",122031,8450
1400000US36061001401,36061001401,"Census Tract 14.01, New York County, New York",78300,21939
1400000US36061001402,36061001402,"Census Tract 14.02, New York County, New York",26648,5655
1400000US36061001501,36061001501,"Census Tract 15.01, New York County, New York",75769,14575
1400000US36061001502,36061001502,"Census Tract 15.02, New York County, New York",134435,25961
1400000US36061001600,36061001600,"Census Tract 16, New York County, New York",30294,15726
1400000US36061001800,36061001800,"Census Tract 18, New York County, New York",48243,10339
1400000US36061002000,36061002000,"Census Tract 20, New York County, New York",17481,2235
1400000US36061002100,36061002100,"Census Tract 21, New York County, New York",232266,51670
1400000US36061002201,36061002201,"Census Tract 22.01, New York County, New York",38235,8427
1400000US36061002202,36061002202,"Census Tract 22.02, New York County, New York",76250,22702
1400000US36061002400,36061002400,"Census Tract 24, New York County, New York",25467,4477
1400000US36061002500,36061002500,"Census Tract 25, New York County, New York",16333,1837
1400000US36061002601,36061002601,"Census Tract 26.01, New York County, New York",44118,16921
1400000US36061002602,36061002602,"Census Tract 26.02, New York County, New York",72575,16341
1400000US36061002700,36061002700,"Census Tract 27, New York County, New York",46696,22466
1400000US36061002800,36061002800,"Census Tract 28, New York County, New York",34612,9729
1400000US36061002900,36061002900,"Census Tract 29, New York County, New York",35441,8621
1400000US36061003001,36061003001,"Census Tract 30.01, New York County, New York",71641,12580
