GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
1400000US36081000100,36081000100,"Census Tract 1, Queens County, New York",125332,19627
1400000US36081000200,36081000200,"Census Tract 2, Queens County, New York",62070,8061
1400000US36081000400,36081000400,"Census Tract 4, Queens County, New York",53355,18542
1400000US36081000600,36081000600,"Census Tract 6, Queens County, New York",63793,10222
1400000US36081000700,36081000700,"Census Tract 7, Queens County, New York",82470,16400
1400000US36081000800,36081000800,"Census Tract 8, Queens County, New York",61250,14126
1400000US36081001000,36081001000,"Census Tract 10, Queens County, New York",62194,9463
1400000US36081001200,36081001200,"Census Tract 12, Queens County, New York",67690,9926
1400000US36081001400,36081001400,"Census Tract 14, Queens County, New York",75048,16726
1400000US36081001600,36081001600,"Census Tract 16, Queens County, New York",59013,12619
1400000US36081001800,36081001800,"Census Tract 18, Queens County, New York",59250,17810
1400000US36081001900,36081001900,"Census Tract 19, Queens County, New York",118563,21333
1400000US36081002000,36081002000,"Census Tract 20, Queens County, New York",77734,18704
1400000US36081002200,36081002200,"Census Tract 22, Queens County, New York",58333,18054
1400000US36081002400,36081002400,"Census Tract 24, Queens County, New York",62007,18325
1400000US36081002500,36081002500,"Census Tract 25, Queens County, New York",19227,3018
1400000US36081002600,36081002600,"Census Tract 26, Queens County, New York",77933,17278
1400000US36081002800,36081002800,"Census Tract 28, Queens County, New York",62298,12045
1400000US36081003000,36081003000,"Census Tract 30, Queens County, New York",41875,18135
1400000US36081003100,36081003100,"Census Tract 31, Queens County, New York",58214,20508
1400000US36081003200,36081003200,"Census Tract 32, Queens County, New York",75859,11062
1400000US36081003300,36081003300,"Census Tract 33, Queens County, New York",46681,11357
1400000US36081003400,36081003400,"Census Tract 34, Queens County, New York",75402,14705
1400000US36081003600,36081003600,"Census Tract 36, Queens County, New York",74727,14606
1400000US36081003700,36081003700,"Census Tract 37, Queens County, New York",-,**
1400000US36081003800,36081003800,"Census Tract 38, Queens County, New York",52540,14264
1400000US36081003900,36081003900,"Census Tract 39, Queens County, New York",42303,11909
1400000US36081004001,36081004001,"Census Tract 40.01, Queens County, New York",55500,14596
