,ZipCode,MedianIncome,Population
1,10001.0,81445,22767
2,10002.0,32966,79894
3,10003.0,97524,57068
4,10004.0,123409,3024
5,10005.0,121840,7570
6,10006.0,121316,2950
7,10007.0,"250,000+",6748
8,10009.0,61154,61806
9,10010.0,100763,30708
10,10011.0,104974,52941
11,10012.0,95577,24846
12,10013.0,97228,26937
13,10014.0,109557,31835
14,10016.0,103960,50112
15,10017.0,102165,16278
16,10018.0,100298,8062
17,10019.0,90174,38752
18,10020.0,-,0
19,10021.0,109398,42142
20,10022.0,115604,29699
21,10023.0,111265,60762
22,10024.0,109784,59249
23,10025.0,71865,97373
24,10026.0,47318,38372
25,10027.0,40013,63057
26,10028.0,115485,46169
27,10029.0,31446,77857
28,10030.0,32561,29530
29,10031.0,38338,58912
30,10032.0,35979,59069
31,10033.0,44595,60520
32,10034.0,42522,42672
33,10035.0,26764,34760
34,10036.0,70625,24127
35,10037.0,37000,18041
36,10038.0,73988,20997
37,10039.0,33132,25952
38,10040.0,46944,45278
39,10044.0,95259,12050
41,10069.0,172926,5523
43,10103.0,-,0
44,10110.0,-,1
45,10111.0,-,0
46,10112.0,-,0
47,10115.0,-,0
48,10119.0,-,0
49,10128.0,100649,62447
50,10152.0,-,0
51,10153.0,-,0
52,10154.0,-,0
53,10162.0,193238,1252
54,10165.0,-,0
55,10167.0,-,0
56,10168.0,-,0
57,10169.0,-,0
58,10170.0,-,0
59,10171.0,-,0
60,10172.0,-,0
61,10173.0,-,0
62,10174.0,-,0
63,10177.0,-,0
64,10199.0,-,0
65,10271.0,-,0
66,10278.0,-,0
67,10279.0,-,0
68,10280.0,143636,8817
69,10282.0,245556,5903
70,10301.0,60278,39367
71,10302.0,54150,18043
72,10303.0,52826,24348
73,10304.0,53762,41864
74,10305.0,70763,41471
75,10306.0,79152,54888
76,10307.0,86688,15006
77,10308.0,85814,29805
78,10309.0,87536,33382
79,10310.0,64724,24719
80,10311.0,-,0
81,10312.0,87946,61105
82,10314.0,78962,87524
83,10451.0,27197,47818
84,10452.0,24965,75252
85,10453.0,24741,79002
86,10454.0,19536,38751
87,10455.0,22996,39951
88,10456.0,22962,91737
89,10457.0,24883,71015
90,10458.0,24829,76276
91,10459.0,23400,48269
92,10460.0,23289,58676
93,10461.0,52230,52435
94,10462.0,45234,76114
95,10463.0,55354,71238
96,10464.0,75696,4532
97,10465.0,68831,46360
98,10466.0,42587,69657
99,10467.0,35852,99251
100,10468.0,33585,72683
101,10469.0,57680,72241
102,10470.0,58330,14880
103,10471.0,73684,21935
104,10472.0,30541,69659
105,10473.0,36729,59948
106,10474.0,26460,12223
107,10475.0,45886,44582
249,11004.0,82054,14045
261,11101.0,48509,25317
262,11102.0,50160,35027
263,11103.0,57733,38257
264,11104.0,56578,26555
265,11105.0,60247,36816
266,11106.0,52399,38633
267,11109.0,128693,4337
268,11201.0,98775,56488
269,11203.0,46630,77011
270,11204.0,45593,80349
271,11205.0,47050,43320
272,11206.0,30686,83180
273,11207.0,33816,93465
274,11208.0,34527,92262
275,11209.0,59934,72582
276,11210.0,56052,67042
277,11211.0,50943,94681
278,11212.0,28146,87751
279,11213.0,34804,62756
280,11214.0,45838,88297
281,11215.0,99040,70156
282,11216.0,45566,54440
283,11217.0,85199,38567
284,11218.0,54441,75132
285,11219.0,35083,98719
286,11220.0,38052,101715
287,11221.0,39785,83773
288,11222.0,66610,34580
289,11223.0,40873,76651
290,11224.0,27011,42698
291,11225.0,43543,59613
292,11226.0,42182,98299
293,11228.0,62821,46059
294,11229.0,51985,81351
295,11230.0,41820,87064
296,11231.0,83383,34605
297,11232.0,44583,29452
298,11233.0,34432,69637
299,11234.0,67713,95610
300,11235.0,42257,75622
301,11236.0,60135,97714
302,11237.0,42496,55258
303,11238.0,69491,51959
304,11239.0,27886,12943
305,11351.0,-,0
306,11354.0,46650,56433
307,11355.0,40539,83799
308,11356.0,59084,23800
309,11357.0,73189,40588
310,11358.0,67277,37634
311,11359.0,-,0
312,11360.0,79513,19916
313,11361.0,77219,30352
314,11362.0,82058,17897
315,11363.0,92711,7625
316,11364.0,72344,34902
317,11365.0,58990,43138
318,11366.0,71692,13146
319,11367.0,54218,41582
320,11368.0,45014,110385
321,11369.0,54181,39862
322,11370.0,54196,36271
323,11371.0,-,0
324,11372.0,46402,63202
325,11373.0,49042,100713
326,11374.0,50606,41792
327,11375.0,71643,69652
328,11377.0,49641,88939
329,11378.0,56278,30854
330,11379.0,71393,35725
331,11385.0,53558,100132
332,11411.0,81117,19177
333,11412.0,70709,37690
334,11413.0,80237,41689
335,11414.0,69088,28742
336,11415.0,64696,19020
337,11416.0,58621,25973
338,11417.0,61617,31556
339,11418.0,61472,36751
340,11419.0,55557,48370
341,11420.0,57784,50162
342,11421.0,61974,42745
343,11422.0,83631,32589
344,11423.0,60161,32053
347,11426.0,77917,19348
348,11427.0,69847,23460
349,11428.0,68077,20461
350,11429.0,71208,27506
351,11430.0,-,171
352,11432.0,49631,62395
353,11433.0,44799,37927
354,11434.0,58178,65255
355,11435.0,52939,54523
356,11436.0,61544,18609
398,11691.0,39986,62577
399,11692.0,40298,17970
400,11693.0,51116,11338
401,11694.0,75615,21507
402,11697.0,82230,4078
